Name,Title,Abstract
Martino Russi,HopeJr：面向所有人的500美元开源人形机械臂,介绍一款仅需500美元的开源人形机械臂和手套系统，支持实时学习和远程操作。展示AI、机器人技术和嵌入式系统如何融合，赋能个人创作者重塑人机交互界面。涵盖机械设计、嵌入式架构和控制管道，实现从人类输入的实时学习，旨在使机器人技术民主化。
Jinwei Gu,Cosmos物理AI世界基础模型,NVIDIA Cosmos是专为物理AI设计的世界基础模型系列，包含Cosmos-Predict、Cosmos-Transfer和Cosmos-Reason三个核心组件。介绍模型开发历程、基准测试评估，以及针对机器人和自动驾驶应用的后训练方法，展示在合成数据生成、具身AI等下游任务中的应用效果。
夏璇,AIRSPEED：用于具身智能的开源通用数据生产平台,AIRSPEED精准定位机器人数据生产市场空白，整合上下游资源。平台采用ROS 2架构，通过通用接口兼容VR遥操作、手柄遥操作、外骨骼控制等多种设备。支持预测生成、轨迹合成、资产合成等功能，为具身智能模型训练提供高质量数据资源。
岑明,非结构化环境的地图生成和路径规划方法,提出基于激光雷达点云密度分析的3D建图方法，包含建模和映射两个阶段。通过体素网格点云密度计算、步高特征提取、局部地形区域分割策略，结合坡度和粗糙度属性生成3D地图。结合平台最大可通行坡度和越障能力指标，生成兼顾效率与安全的最优路径。
尹云鹏,从格物到致知：具身智能机器人开发范式的改变,国家地方共建人形机器人创新中心推出"格物-致知"通用机器人开发平台，提供从高层算法模型训练到底层硬件配置的全流程开发能力。搭配全开源OpenLoong控制框架，一站完成异构本体适配、计算架构适配、仿真实机适配，加速具身智能场景应用落地。
李涛,基于OpenHarmony的机器人操作系统,深开鸿联合产学界开发基于OpenHarmony的开源全场景智能机器人操作系统。相比传统Ubuntu+ROS方案，OpenHarmony结合Dora中间件在安全性、可控性、云边端协同、应用开发范式等方面具有显著优势，构建开放生态，促进开源共创和商业化落地。
王鹏伟,具身大小脑操作框架与具身大脑模型构建,智源研究院发布跨本体具身大小脑协作框架RoboOS与开源具身大脑RoboBrain，实现跨场景多任务轻量化快速部署与跨本体协作。推动单机智能迈向群体智能，为主流本体提供一站式大小脑部署流程和即插即用解决方案。
岑汝平,DORA-RS高性能计算框架在具身机器人中的应用,介绍dora-rs框架的内在优势及其在多个具身机器人平台上的具体应用。通过dora-rs驱动的抓取和分拣系统案例，展示该框架如何实现低延迟、高性能的机器人数据流处理和实时控制，提升具身机器人系统的整体性能。
Edgar Riba,Amiga：智慧农业和户外物流的模块化AI优先平台,Amiga是专为农业和户外物流设计的下一代模块化机器人平台。展示其软硬件模块化设计、可互换工具包和执行系统。通过SDK示例展示易用API和边缘ML管道，结合Dora-rs中间件实现零拷贝执行模型，支持实时感知-动作循环。
Jian Shi,基于Kornia的可访问代理计算机视觉,结合Kornia视觉库与大语言模型创建代理计算机视觉系统。通过机器控制协议(MCP)将复杂视觉操作转换为自然语言交互，使非技术用户能够通过简单指令执行高级图像处理任务，实现计算机视觉技术的民主化访问。
Xavier,使用dora-rs混合多模态AI模型解决复杂机器人任务,Transformer模型在复杂预测任务中取得突破性成果，使机器人领域的挑战性任务变得可行。重点介绍在机器人技术中起决定性作用的模型及其当前局限性，探讨如何利用dora-rs中间件混合多模态AI模型解决复杂机器人任务。
